Unnamed: 0,batch,assigned_cluster
mouse2_lib1.final_cell_0142,1,ductal
mouse2_lib1.final_cell_0159,1,beta
mouse1_lib2.final_cell_0218,0,delta
mouse1_lib2.final_cell_0087,0,beta
mouse1_lib3.final_cell_0091,0,ductal
mouse2_lib2.final_cell_0126,1,beta
mouse1_lib2.final_cell_0083,0,ductal
mouse1_lib1.final_cell_0214,0,beta
mouse2_lib3.final_cell_0349,1,alpha
mouse1_lib3.final_cell_0103,0,gamma
mouse2_lib3.final_cell_0187,1,beta
mouse1_lib2.final_cell_0291,0,endothelial
mouse1_lib2.final_cell_0009,0,alpha
mouse2_lib2.final_cell_0171,1,delta
mouse1_lib2.final_cell_0179,0,endothelial
mouse2_lib2.final_cell_0105,1,beta
mouse2_lib3.final_cell_0373,1,quiescent_stellate
mouse2_lib1.final_cell_0148,1,alpha
mouse1_lib1.final_cell_0182,0,endothelial
mouse1_lib2.final_cell_0234,0,ductal
mouse2_lib3.final_cell_0279,1,alpha
mouse2_lib3.final_cell_0109,1,alpha
mouse2_lib1.final_cell_0180,1,beta
mouse2_lib3.final_cell_0121,1,beta
mouse1_lib2.final_cell_0027,0,ductal
mouse2_lib3.final_cell_0270,1,beta
mouse1_lib1.final_cell_0074,0,beta
mouse2_lib3.final_cell_0099,1,beta
mouse2_lib1.final_cell_0312,1,beta
mouse2_lib2.final_cell_0082,1,alpha
mouse1_lib3.final_cell_0052,0,beta
mouse2_lib2.final_cell_0303,1,macrophage
mouse2_lib2.final_cell_0321,1,delta
mouse2_lib2.final_cell_0119,1,beta
mouse1_lib2.final_cell_0168,0,ductal
mouse1_lib2.final_cell_0266,0,endothelial
mouse2_lib2.final_cell_0146,1,beta
mouse1_lib3.final_cell_0128,0,endothelial
mouse2_lib1.final_cell_0031,1,beta
mouse1_lib2.final_cell_0193,0,beta
mouse2_lib1.final_cell_0069,1,beta
mouse2_lib1.final_cell_0286,1,endothelial
mouse1_lib2.final_cell_0216,0,beta
mouse1_lib3.final_cell_0068,0,beta
mouse1_lib3.final_cell_0115,0,beta
mouse1_lib3.final_cell_0112,0,beta
mouse2_lib1.final_cell_0037,1,alpha
mouse2_lib1.final_cell_0229,1,alpha
mouse1_lib3.final_cell_0199,0,beta
mouse1_lib3.final_cell_0016,0,ductal
mouse2_lib3.final_cell_0290,1,alpha
mouse2_lib2.final_cell_0290,1,delta
mouse2_lib2.final_cell_0032,1,beta
mouse1_lib2.final_cell_0249,0,delta
mouse2_lib1.final_cell_0259,1,delta
mouse1_lib3.final_cell_0122,0,beta
mouse1_lib3.final_cell_0254,0,ductal
mouse2_lib2.final_cell_0139,1,beta
mouse1_lib2.final_cell_0130,0,ductal
mouse1_lib2.final_cell_0211,0,beta
mouse1_lib2.final_cell_0267,0,beta
mouse1_lib2.final_cell_0052,0,ductal
mouse2_lib2.final_cell_0268,1,beta
mouse2_lib3.final_cell_0376,1,beta
mouse2_lib2.final_cell_0179,1,beta
mouse2_lib2.final_cell_0270,1,endothelial
mouse1_lib2.final_cell_0108,0,beta
mouse1_lib1.final_cell_0043,0,delta
mouse2_lib2.final_cell_0094,1,alpha
mouse2_lib3.final_cell_0278,1,delta
mouse1_lib1.final_cell_0204,0,endothelial
mouse1_lib2.final_cell_0197,0,beta
mouse2_lib1.final_cell_0240,1,endothelial
mouse2_lib2.final_cell_0122,1,delta
mouse2_lib3.final_cell_0221,1,beta
mouse1_lib1.final_cell_0209,0,beta
mouse2_lib1.final_cell_0056,1,alpha
mouse2_lib2.final_cell_0057,1,beta
mouse2_lib1.final_cell_0169,1,delta
mouse2_lib2.final_cell_0313,1,beta
mouse1_lib2.final_cell_0159,0,beta
mouse2_lib1.final_cell_0072,1,alpha
mouse2_lib3.final_cell_0184,1,alpha
mouse2_lib3.final_cell_0068,1,beta
mouse2_lib3.final_cell_0198,1,delta
mouse1_lib2.final_cell_0047,0,ductal
mouse2_lib3.final_cell_0074,1,delta
mouse2_lib2.final_cell_0100,1,beta
mouse2_lib3.final_cell_0219,1,beta
mouse2_lib2.final_cell_0031,1,alpha
mouse2_lib3.final_cell_0204,1,ductal
mouse2_lib3.final_cell_0318,1,delta
mouse2_lib1.final_cell_0104,1,delta
mouse1_lib3.final_cell_0150,0,delta
mouse1_lib1.final_cell_0062,0,ductal
mouse1_lib1.final_cell_0013,0,beta
mouse2_lib2.final_cell_0327,1,alpha
mouse2_lib1.final_cell_0303,1,macrophage
mouse1_lib2.final_cell_0174,0,beta
mouse2_lib1.final_cell_0226,1,beta
mouse2_lib2.final_cell_0196,1,endothelial
mouse2_lib3.final_cell_0304,1,beta
mouse2_lib1.final_cell_0068,1,alpha
mouse2_lib3.final_cell_0128,1,beta
mouse2_lib1.final_cell_0055,1,beta
mouse2_lib3.final_cell_0257,1,beta
mouse2_lib2.final_cell_0337,1,delta
mouse2_lib1.final_cell_0011,1,beta
mouse1_lib3.final_cell_0188,0,beta
mouse2_lib3.final_cell_0344,1,beta
mouse2_lib3.final_cell_0024,1,beta
mouse2_lib3.final_cell_0333,1,beta
mouse2_lib1.final_cell_0134,1,beta
mouse1_lib3.final_cell_0205,0,beta
mouse2_lib1.final_cell_0135,1,beta
mouse2_lib3.final_cell_0177,1,beta
mouse2_lib3.final_cell_0127,1,beta
mouse1_lib2.final_cell_0178,0,beta
mouse1_lib1.final_cell_0138,0,beta
mouse1_lib3.final_cell_0118,0,beta
mouse1_lib3.final_cell_0033,0,ductal
mouse1_lib1.final_cell_0082,0,ductal
mouse1_lib1.final_cell_0220,0,delta
mouse2_lib3.final_cell_0085,1,beta
mouse1_lib2.final_cell_0090,0,beta
mouse2_lib1.final_cell_0003,1,beta
mouse2_lib3.final_cell_0134,1,beta
mouse1_lib1.final_cell_0105,0,quiescent_stellate
mouse2_lib2.final_cell_0047,1,beta
mouse2_lib2.final_cell_0238,1,delta
mouse1_lib2.final_cell_0098,0,beta
mouse2_lib1.final_cell_0070,1,alpha
mouse2_lib3.final_cell_0208,1,beta
mouse1_lib2.final_cell_0114,0,quiescent_stellate
mouse1_lib1.final_cell_0063,0,ductal
mouse1_lib3.final_cell_0007,0,beta
mouse1_lib3.final_cell_0006,0,endothelial
mouse2_lib1.final_cell_0107,1,alpha
mouse1_lib3.final_cell_0094,0,beta
mouse1_lib1.final_cell_0155,0,ductal
mouse1_lib2.final_cell_0040,0,ductal
mouse2_lib3.final_cell_0137,1,beta
mouse2_lib3.final_cell_0245,1,beta
mouse1_lib1.final_cell_0012,0,beta
mouse2_lib3.final_cell_0361,1,beta
mouse2_lib3.final_cell_0154,1,beta
mouse2_lib1.final_cell_0146,1,gamma
mouse2_lib1.final_cell_0105,1,beta
mouse1_lib3.final_cell_0038,0,delta
mouse1_lib3.final_cell_0139,0,beta
mouse2_lib2.final_cell_0275,1,delta
mouse1_lib1.final_cell_0125,0,beta
mouse2_lib2.final_cell_0309,1,endothelial
mouse2_lib3.final_cell_0391,1,beta
mouse2_lib1.final_cell_0274,1,endothelial
mouse1_lib2.final_cell_0093,0,quiescent_stellate
mouse2_lib1.final_cell_0144,1,gamma
mouse1_lib1.final_cell_0016,0,ductal
mouse2_lib3.final_cell_0079,1,beta
mouse2_lib3.final_cell_0311,1,beta
mouse2_lib2.final_cell_0190,1,beta
mouse2_lib1.final_cell_0130,1,beta
mouse2_lib1.final_cell_0093,1,beta
mouse1_lib2.final_cell_0011,0,ductal
mouse2_lib2.final_cell_0027,1,beta
mouse2_lib3.final_cell_0393,1,ductal
mouse1_lib3.final_cell_0126,0,delta
mouse2_lib3.final_cell_0236,1,alpha
mouse1_lib2.final_cell_0154,0,delta
mouse2_lib3.final_cell_0009,1,beta
mouse2_lib3.final_cell_0023,1,beta
mouse2_lib2.final_cell_0170,1,beta
mouse2_lib1.final_cell_0058,1,beta
mouse1_lib1.final_cell_0021,0,beta
mouse2_lib2.final_cell_0280,1,beta
mouse2_lib1.final_cell_0050,1,beta
mouse1_lib2.final_cell_0068,0,ductal
mouse1_lib3.final_cell_0149,0,ductal
mouse1_lib3.final_cell_0077,0,beta
mouse2_lib2.final_cell_0058,1,beta
mouse1_lib3.final_cell_0053,0,beta
mouse1_lib2.final_cell_0129,0,gamma
mouse2_lib1.final_cell_0125,1,beta
mouse2_lib2.final_cell_0248,1,beta
mouse2_lib3.final_cell_0348,1,beta
mouse2_lib2.final_cell_0097,1,beta
mouse2_lib2.final_cell_0026,1,delta
mouse2_lib1.final_cell_0040,1,delta
mouse2_lib3.final_cell_0356,1,beta
mouse2_lib1.final_cell_0234,1,beta
mouse2_lib1.final_cell_0063,1,ductal
mouse1_lib3.final_cell_0001,0,beta
mouse1_lib3.final_cell_0117,0,beta
mouse1_lib2.final_cell_0016,0,ductal
mouse1_lib3.final_cell_0008,0,ductal
mouse2_lib1.final_cell_0237,1,activated_stellate
mouse2_lib3.final_cell_0247,1,beta
mouse1_lib3.final_cell_0030,0,endothelial
mouse1_lib2.final_cell_0095,0,endothelial
mouse1_lib2.final_cell_0288,0,delta
mouse1_lib1.final_cell_0268,0,beta
mouse2_lib2.final_cell_0320,1,beta
mouse2_lib1.final_cell_0251,1,macrophage
mouse2_lib3.final_cell_0070,1,alpha
mouse2_lib1.final_cell_0198,1,macrophage
mouse1_lib1.final_cell_0168,0,beta
mouse1_lib1.final_cell_0019,0,ductal
mouse2_lib1.final_cell_0263,1,endothelial
mouse1_lib1.final_cell_0162,0,immune_other
mouse2_lib3.final_cell_0098,1,beta
mouse2_lib1.final_cell_0276,1,beta
mouse1_lib2.final_cell_0046,0,endothelial
mouse2_lib2.final_cell_0217,1,quiescent_stellate
mouse1_lib2.final_cell_0241,0,delta
mouse1_lib2.final_cell_0201,0,macrophage
mouse2_lib2.final_cell_0132,1,beta
mouse2_lib1.final_cell_0185,1,beta
mouse2_lib3.final_cell_0031,1,beta
mouse2_lib2.final_cell_0281,1,endothelial
mouse1_lib3.final_cell_0076,0,ductal
mouse1_lib3.final_cell_0029,0,ductal
mouse1_lib1.final_cell_0048,0,ductal
mouse2_lib2.final_cell_0316,1,beta
mouse2_lib1.final_cell_0016,1,beta
mouse1_lib1.final_cell_0101,0,beta
mouse2_lib1.final_cell_0261,1,delta
mouse1_lib1.final_cell_0085,0,ductal
mouse2_lib2.final_cell_0134,1,beta
mouse2_lib1.final_cell_0162,1,gamma
mouse1_lib2.final_cell_0198,0,gamma
mouse1_lib2.final_cell_0116,0,beta
mouse2_lib1.final_cell_0114,1,beta
mouse1_lib1.final_cell_0014,0,delta
mouse2_lib3.final_cell_0077,1,beta
mouse2_lib3.final_cell_0006,1,beta
mouse2_lib1.final_cell_0088,1,beta
mouse1_lib1.final_cell_0160,0,macrophage
mouse1_lib2.final_cell_0142,0,macrophage
mouse2_lib2.final_cell_0046,1,delta
mouse2_lib3.final_cell_0141,1,beta
mouse2_lib3.final_cell_0335,1,beta
mouse1_lib2.final_cell_0013,0,ductal
mouse1_lib3.final_cell_0073,0,ductal
mouse2_lib1.final_cell_0268,1,ductal
mouse2_lib1.final_cell_0304,1,alpha
mouse1_lib2.final_cell_0217,0,quiescent_stellate
mouse2_lib2.final_cell_0074,1,beta
mouse2_lib3.final_cell_0238,1,alpha
mouse1_lib2.final_cell_0210,0,delta
mouse2_lib3.final_cell_0153,1,alpha
mouse1_lib3.final_cell_0146,0,beta
mouse2_lib1.final_cell_0281,1,beta
mouse2_lib2.final_cell_0130,1,alpha
mouse2_lib3.final_cell_0372,1,endothelial
mouse1_lib3.final_cell_0058,0,beta
mouse2_lib3.final_cell_0382,1,beta
mouse2_lib3.final_cell_0394,1,quiescent_stellate
mouse1_lib1.final_cell_0275,0,endothelial
mouse2_lib3.final_cell_0001,1,beta
mouse2_lib1.final_cell_0297,1,beta
mouse1_lib1.final_cell_0011,0,ductal
mouse1_lib3.final_cell_0061,0,beta
mouse1_lib1.final_cell_0163,0,beta
mouse1_lib1.final_cell_0274,0,ductal
mouse1_lib3.final_cell_0242,0,beta
mouse1_lib1.final_cell_0025,0,quiescent_stellate
mouse2_lib3.final_cell_0395,1,ductal
mouse1_lib1.final_cell_0061,0,beta
mouse2_lib1.final_cell_0012,1,beta
mouse2_lib1.final_cell_0295,1,beta
mouse1_lib1.final_cell_0235,0,endothelial
mouse1_lib1.final_cell_0134,0,beta
mouse1_lib1.final_cell_0117,0,beta
mouse2_lib2.final_cell_0120,1,beta
mouse2_lib3.final_cell_0225,1,ductal
mouse1_lib3.final_cell_0156,0,ductal
mouse2_lib3.final_cell_0353,1,endothelial
mouse1_lib3.final_cell_0100,0,beta
mouse1_lib1.final_cell_0195,0,quiescent_stellate
mouse2_lib3.final_cell_0076,1,alpha
mouse1_lib3.final_cell_0164,0,ductal
mouse1_lib2.final_cell_0191,0,beta
mouse1_lib3.final_cell_0022,0,beta
mouse1_lib3.final_cell_0095,0,quiescent_stellate
mouse2_lib1.final_cell_0217,1,gamma
mouse2_lib2.final_cell_0116,1,alpha
mouse2_lib1.final_cell_0017,1,beta
mouse1_lib3.final_cell_0214,0,ductal
mouse2_lib3.final_cell_0103,1,beta
mouse1_lib1.final_cell_0148,0,beta
mouse2_lib2.final_cell_0279,1,alpha
mouse1_lib2.final_cell_0237,0,delta
mouse2_lib1.final_cell_0118,1,gamma
mouse2_lib3.final_cell_0114,1,beta
mouse2_lib3.final_cell_0048,1,delta
mouse1_lib2.final_cell_0223,0,endothelial
mouse1_lib3.final_cell_0189,0,beta
mouse2_lib2.final_cell_0192,1,alpha
mouse2_lib2.final_cell_0131,1,gamma
mouse1_lib2.final_cell_0125,0,beta
mouse2_lib2.final_cell_0068,1,delta
mouse1_lib1.final_cell_0219,0,beta
mouse2_lib1.final_cell_0282,1,quiescent_stellate
mouse2_lib3.final_cell_0053,1,beta
mouse1_lib3.final_cell_0159,0,beta
mouse2_lib1.final_cell_0076,1,alpha
mouse2_lib3.final_cell_0362,1,beta
mouse1_lib1.final_cell_0149,0,beta
mouse2_lib3.final_cell_0059,1,beta
mouse2_lib2.final_cell_0299,1,endothelial
mouse1_lib1.final_cell_0128,0,beta
mouse2_lib3.final_cell_0065,1,schwann
mouse2_lib3.final_cell_0239,1,beta
mouse2_lib3.final_cell_0253,1,endothelial
mouse2_lib2.final_cell_0271,1,endothelial
mouse2_lib1.final_cell_0101,1,beta
mouse1_lib3.final_cell_0063,0,ductal
mouse2_lib3.final_cell_0020,1,alpha
mouse2_lib1.final_cell_0094,1,beta
mouse1_lib1.final_cell_0069,0,endothelial
mouse2_lib3.final_cell_0132,1,beta
mouse2_lib3.final_cell_0152,1,delta
mouse1_lib2.final_cell_0203,0,beta
mouse1_lib1.final_cell_0197,0,beta
mouse2_lib2.final_cell_0148,1,endothelial
mouse2_lib1.final_cell_0313,1,beta
mouse2_lib3.final_cell_0073,1,alpha
mouse1_lib1.final_cell_0247,0,beta
mouse1_lib3.final_cell_0209,0,ductal
mouse1_lib3.final_cell_0019,0,ductal
mouse1_lib2.final_cell_0220,0,ductal
mouse2_lib3.final_cell_0251,1,endothelial
mouse2_lib3.final_cell_0089,1,beta
mouse1_lib3.final_cell_0198,0,beta
mouse2_lib1.final_cell_0224,1,delta
mouse1_lib3.final_cell_0190,0,ductal
mouse2_lib1.final_cell_0139,1,beta
mouse2_lib2.final_cell_0340,1,ductal
mouse2_lib3.final_cell_0262,1,endothelial
mouse1_lib1.final_cell_0099,0,ductal
mouse1_lib3.final_cell_0231,0,ductal
mouse1_lib1.final_cell_0183,0,ductal
mouse1_lib3.final_cell_0009,0,beta
mouse1_lib2.final_cell_0025,0,beta
mouse2_lib1.final_cell_0085,1,alpha
mouse2_lib1.final_cell_0306,1,macrophage
mouse2_lib3.final_cell_0210,1,alpha
mouse1_lib1.final_cell_0141,0,beta
mouse1_lib1.final_cell_0179,0,beta
mouse2_lib2.final_cell_0025,1,alpha
mouse2_lib2.final_cell_0143,1,alpha
mouse2_lib3.final_cell_0207,1,alpha
mouse2_lib2.final_cell_0344,1,delta
mouse2_lib3.final_cell_0371,1,B_cell
mouse2_lib1.final_cell_0178,1,alpha
mouse2_lib2.final_cell_0311,1,beta
mouse2_lib2.final_cell_0172,1,beta
mouse2_lib3.final_cell_0206,1,endothelial
mouse1_lib1.final_cell_0120,0,endothelial
mouse2_lib2.final_cell_0267,1,B_cell
mouse2_lib1.final_cell_0157,1,alpha
mouse2_lib1.final_cell_0116,1,delta
mouse2_lib2.final_cell_0072,1,beta
mouse1_lib1.final_cell_0131,0,beta
mouse2_lib2.final_cell_0329,1,quiescent_stellate
mouse1_lib3.final_cell_0083,0,beta
mouse2_lib2.final_cell_0209,1,beta
mouse1_lib1.final_cell_0166,0,delta
mouse2_lib3.final_cell_0160,1,alpha
mouse2_lib1.final_cell_0165,1,alpha
mouse1_lib2.final_cell_0092,0,beta
mouse2_lib2.final_cell_0296,1,beta
mouse1_lib3.final_cell_0223,0,delta
mouse1_lib1.final_cell_0132,0,beta
mouse2_lib3.final_cell_0005,1,beta
mouse2_lib1.final_cell_0309,1,beta
mouse2_lib3.final_cell_0018,1,beta
mouse2_lib1.final_cell_0264,1,delta
mouse1_lib3.final_cell_0163,0,endothelial
mouse2_lib2.final_cell_0018,1,beta
mouse1_lib1.final_cell_0232,0,ductal
mouse1_lib3.final_cell_0018,0,beta
mouse2_lib2.final_cell_0199,1,endothelial
mouse2_lib3.final_cell_0090,1,beta
mouse2_lib3.final_cell_0243,1,beta
mouse1_lib1.final_cell_0253,0,quiescent_stellate
mouse1_lib1.final_cell_0006,0,beta
mouse1_lib1.final_cell_0056,0,beta
mouse2_lib1.final_cell_0305,1,endothelial
mouse1_lib1.final_cell_0020,0,ductal
mouse1_lib2.final_cell_0253,0,delta
mouse1_lib1.final_cell_0215,0,ductal
mouse2_lib2.final_cell_0098,1,gamma
mouse2_lib1.final_cell_0246,1,endothelial
mouse2_lib1.final_cell_0149,1,alpha
mouse2_lib3.final_cell_0305,1,endothelial
mouse1_lib3.final_cell_0151,0,beta
mouse2_lib1.final_cell_0222,1,delta
mouse2_lib2.final_cell_0086,1,delta
mouse2_lib1.final_cell_0319,1,endothelial
mouse1_lib2.final_cell_0001,0,beta
mouse2_lib3.final_cell_0295,1,alpha
mouse2_lib3.final_cell_0126,1,delta
mouse2_lib3.final_cell_0261,1,beta
mouse2_lib2.final_cell_0136,1,beta
mouse2_lib3.final_cell_0191,1,beta
mouse2_lib1.final_cell_0033,1,delta
mouse1_lib2.final_cell_0139,0,endothelial
mouse2_lib1.final_cell_0110,1,gamma
mouse2_lib1.final_cell_0025,1,beta
mouse2_lib2.final_cell_0263,1,ductal
mouse1_lib1.final_cell_0052,0,beta
mouse2_lib2.final_cell_0276,1,beta
mouse2_lib3.final_cell_0235,1,beta
mouse2_lib1.final_cell_0111,1,beta
mouse2_lib3.final_cell_0380,1,ductal
mouse1_lib3.final_cell_0088,0,delta
mouse2_lib1.final_cell_0279,1,beta
mouse1_lib2.final_cell_0005,0,beta
mouse1_lib2.final_cell_0122,0,beta
mouse2_lib2.final_cell_0223,1,ductal
mouse2_lib2.final_cell_0274,1,beta
mouse1_lib1.final_cell_0153,0,ductal
mouse1_lib2.final_cell_0003,0,delta
mouse2_lib2.final_cell_0234,1,beta
mouse2_lib2.final_cell_0111,1,delta
mouse1_lib1.final_cell_0002,0,ductal
mouse1_lib2.final_cell_0050,0,endothelial
mouse1_lib1.final_cell_0107,0,quiescent_stellate
mouse2_lib3.final_cell_0312,1,beta
mouse2_lib1.final_cell_0176,1,beta
mouse2_lib1.final_cell_0119,1,gamma
mouse2_lib2.final_cell_0083,1,delta
mouse2_lib3.final_cell_0029,1,beta
mouse1_lib2.final_cell_0036,0,ductal
mouse2_lib3.final_cell_0169,1,beta
mouse2_lib2.final_cell_0323,1,macrophage
mouse2_lib3.final_cell_0034,1,schwann
mouse2_lib1.final_cell_0048,1,alpha
mouse2_lib3.final_cell_0028,1,beta
mouse2_lib1.final_cell_0128,1,alpha
mouse1_lib2.final_cell_0194,0,ductal
mouse1_lib3.final_cell_0241,0,ductal
mouse1_lib2.final_cell_0242,0,beta
mouse1_lib1.final_cell_0207,0,quiescent_stellate
mouse1_lib3.final_cell_0108,0,beta
mouse2_lib1.final_cell_0301,1,B_cell
mouse2_lib2.final_cell_0231,1,beta
mouse2_lib3.final_cell_0265,1,beta
mouse2_lib3.final_cell_0182,1,alpha
mouse2_lib3.final_cell_0299,1,beta
mouse1_lib2.final_cell_0236,0,beta
mouse2_lib3.final_cell_0266,1,beta
mouse1_lib1.final_cell_0225,0,delta
mouse2_lib1.final_cell_0002,1,beta
mouse1_lib3.final_cell_0145,0,ductal
mouse2_lib3.final_cell_0083,1,beta
mouse2_lib1.final_cell_0163,1,delta
mouse1_lib2.final_cell_0225,0,beta
mouse2_lib3.final_cell_0155,1,alpha
mouse1_lib3.final_cell_0047,0,beta
mouse2_lib3.final_cell_0061,1,ductal
mouse1_lib2.final_cell_0170,0,endothelial
mouse1_lib2.final_cell_0275,0,beta
mouse2_lib1.final_cell_0095,1,beta
mouse1_lib1.final_cell_0269,0,ductal
mouse1_lib3.final_cell_0227,0,beta
mouse2_lib3.final_cell_0375,1,beta
mouse2_lib1.final_cell_0271,1,beta
mouse2_lib1.final_cell_0239,1,beta
mouse2_lib1.final_cell_0160,1,beta
mouse1_lib3.final_cell_0124,0,beta
mouse2_lib3.final_cell_0288,1,beta
mouse2_lib2.final_cell_0302,1,immune_other
mouse2_lib3.final_cell_0165,1,macrophage
mouse2_lib3.final_cell_0272,1,alpha
mouse2_lib3.final_cell_0112,1,alpha
mouse2_lib2.final_cell_0102,1,delta
mouse2_lib1.final_cell_0200,1,beta
mouse2_lib3.final_cell_0224,1,endothelial
mouse2_lib3.final_cell_0366,1,endothelial
mouse2_lib2.final_cell_0104,1,beta
mouse1_lib2.final_cell_0228,0,gamma
mouse2_lib2.final_cell_0208,1,ductal
mouse1_lib3.final_cell_0020,0,gamma
mouse2_lib3.final_cell_0196,1,beta
mouse1_lib3.final_cell_0225,0,macrophage
mouse2_lib2.final_cell_0169,1,gamma
mouse2_lib3.final_cell_0297,1,endothelial
mouse1_lib3.final_cell_0039,0,beta
mouse2_lib2.final_cell_0207,1,beta
mouse1_lib1.final_cell_0031,0,ductal
mouse1_lib2.final_cell_0119,0,endothelial
mouse2_lib1.final_cell_0273,1,alpha
mouse2_lib2.final_cell_0306,1,beta
mouse2_lib3.final_cell_0033,1,delta
mouse2_lib2.final_cell_0246,1,delta
mouse1_lib1.final_cell_0116,0,macrophage
mouse1_lib3.final_cell_0251,0,ductal
mouse2_lib2.final_cell_0181,1,beta
mouse2_lib2.final_cell_0277,1,endothelial
mouse2_lib1.final_cell_0102,1,beta
mouse2_lib1.final_cell_0292,1,activated_stellate
mouse1_lib3.final_cell_0050,0,delta
mouse2_lib2.final_cell_0314,1,delta
mouse1_lib1.final_cell_0123,0,beta
mouse2_lib3.final_cell_0240,1,endothelial
mouse2_lib1.final_cell_0122,1,beta
mouse1_lib2.final_cell_0173,0,beta
mouse1_lib1.final_cell_0133,0,ductal
mouse2_lib1.final_cell_0020,1,beta
mouse2_lib1.final_cell_0225,1,beta
mouse2_lib3.final_cell_0217,1,beta
mouse2_lib2.final_cell_0141,1,beta
mouse1_lib2.final_cell_0155,0,delta
mouse2_lib3.final_cell_0249,1,alpha
mouse2_lib1.final_cell_0131,1,beta
mouse2_lib2.final_cell_0147,1,endothelial
mouse1_lib1.final_cell_0097,0,beta
mouse1_lib2.final_cell_0255,0,delta
mouse2_lib2.final_cell_0322,1,alpha
mouse2_lib3.final_cell_0317,1,endothelial
mouse2_lib2.final_cell_0037,1,beta
mouse1_lib3.final_cell_0240,0,ductal
mouse1_lib2.final_cell_0022,0,ductal
mouse2_lib3.final_cell_0174,1,alpha
mouse1_lib3.final_cell_0043,0,endothelial
mouse1_lib2.final_cell_0140,0,gamma
mouse1_lib3.final_cell_0185,0,ductal
mouse2_lib1.final_cell_0296,1,delta
mouse1_lib3.final_cell_0109,0,T_cell
mouse2_lib3.final_cell_0387,1,delta
mouse2_lib2.final_cell_0009,1,beta
mouse1_lib1.final_cell_0083,0,delta
mouse1_lib2.final_cell_0007,0,ductal
mouse1_lib3.final_cell_0085,0,quiescent_stellate
mouse2_lib2.final_cell_0044,1,beta
mouse2_lib3.final_cell_0056,1,beta
mouse1_lib3.final_cell_0137,0,beta
mouse1_lib1.final_cell_0240,0,beta
mouse1_lib1.final_cell_0181,0,beta
mouse1_lib3.final_cell_0132,0,beta
mouse1_lib3.final_cell_0096,0,endothelial
mouse1_lib2.final_cell_0192,0,beta
mouse1_lib1.final_cell_0029,0,beta
mouse2_lib2.final_cell_0257,1,alpha
mouse2_lib1.final_cell_0265,1,beta
mouse2_lib2.final_cell_0162,1,alpha
mouse1_lib3.final_cell_0218,0,ductal
mouse2_lib2.final_cell_0001,1,beta
mouse1_lib3.final_cell_0113,0,beta
mouse2_lib3.final_cell_0106,1,alpha
mouse1_lib3.final_cell_0165,0,beta
mouse2_lib2.final_cell_0142,1,alpha
mouse1_lib1.final_cell_0173,0,beta
mouse1_lib1.final_cell_0263,0,B_cell
mouse1_lib3.final_cell_0064,0,ductal
mouse2_lib3.final_cell_0320,1,immune_other
mouse2_lib1.final_cell_0285,1,activated_stellate
mouse1_lib1.final_cell_0091,0,delta
mouse1_lib2.final_cell_0014,0,quiescent_stellate
mouse1_lib3.final_cell_0220,0,B_cell
mouse1_lib1.final_cell_0228,0,gamma
mouse2_lib1.final_cell_0294,1,quiescent_stellate
mouse2_lib1.final_cell_0188,1,beta
mouse1_lib1.final_cell_0188,0,endothelial
mouse2_lib1.final_cell_0127,1,alpha
mouse2_lib3.final_cell_0108,1,alpha
mouse2_lib2.final_cell_0115,1,endothelial
mouse2_lib1.final_cell_0042,1,delta
mouse1_lib1.final_cell_0049,0,beta
mouse2_lib2.final_cell_0202,1,alpha
mouse2_lib3.final_cell_0016,1,activated_stellate
mouse1_lib3.final_cell_0041,0,ductal
mouse2_lib2.final_cell_0221,1,beta
mouse1_lib1.final_cell_0266,0,ductal
mouse1_lib3.final_cell_0183,0,beta
mouse2_lib3.final_cell_0377,1,beta
mouse2_lib2.final_cell_0222,1,delta
mouse1_lib1.final_cell_0055,0,ductal
mouse1_lib2.final_cell_0171,0,ductal
mouse1_lib1.final_cell_0260,0,ductal
mouse1_lib3.final_cell_0026,0,delta
mouse1_lib1.final_cell_0090,0,ductal
mouse2_lib2.final_cell_0242,1,delta
mouse1_lib1.final_cell_0121,0,beta
mouse1_lib1.final_cell_0073,0,endothelial
mouse1_lib1.final_cell_0174,0,beta
mouse2_lib3.final_cell_0096,1,beta
mouse2_lib2.final_cell_0004,1,delta
mouse2_lib2.final_cell_0260,1,alpha
mouse1_lib2.final_cell_0071,0,ductal
mouse2_lib3.final_cell_0027,1,beta
mouse2_lib2.final_cell_0226,1,alpha
mouse2_lib1.final_cell_0231,1,gamma
mouse2_lib3.final_cell_0007,1,beta
mouse2_lib2.final_cell_0109,1,beta
mouse2_lib2.final_cell_0228,1,alpha
mouse1_lib1.final_cell_0108,0,beta
mouse2_lib1.final_cell_0046,1,beta
mouse1_lib2.final_cell_0226,0,delta
mouse2_lib2.final_cell_0330,1,delta
mouse2_lib2.final_cell_0348,1,quiescent_stellate
mouse2_lib2.final_cell_0033,1,beta
mouse2_lib1.final_cell_0106,1,beta
mouse2_lib2.final_cell_0273,1,beta
mouse1_lib2.final_cell_0183,0,endothelial
mouse2_lib1.final_cell_0277,1,beta
mouse1_lib2.final_cell_0207,0,beta
mouse1_lib1.final_cell_0238,0,ductal
mouse1_lib1.final_cell_0093,0,beta
mouse2_lib3.final_cell_0343,1,beta
mouse1_lib3.final_cell_0087,0,ductal
mouse2_lib3.final_cell_0017,1,beta
mouse2_lib1.final_cell_0079,1,beta
